X	Y
0021.0086670199	-247.0451328082
0015.4751660932	-127.3028173628
0023.1273204959	-268.8639439036
0000.1598374314	-112.6721814621
0003.9481263100	-103.2232644036
0004.2159814898	-111.6522853839
-003.7055568115	-053.5614458886
-000.9061123920	-023.7668823589
0014.4028815977	-111.4555408760
0007.5481086756	-179.2196297367
0026.5564564019	-388.9126179587
0006.9264337130	-210.1848258968
0022.1850168807	-289.6001295747
0026.9662352540	-265.7319320404
0021.2190867714	-285.5178704586
0005.1040869226	-140.8034682135
0019.8823892313	-214.7538006771
0020.1898067125	-263.3262635384
0001.6307376973	-066.6887089114
0015.2951398430	-127.3674856213
0013.6858098031	-073.9714371416
0022.2258936207	-289.3640483356
0017.5884622602	-206.0889502577
0008.5466149483	-258.4339614094
0026.3185298842	-262.1817829747
0007.8223131331	-190.9127906667
0019.8597172281	-214.6987178390
0015.0588404465	-104.1888399707
0007.0109448108	-210.5140272007
0015.3464676480	-132.3335197876
0022.4969292376	-316.2851343750
0005.9137753926	-136.1230284973
0020.2933544366	-226.8835737134
0001.3883670391	-055.3214292056
0010.7137931661	-334.1188953341
0001.6719798862	-066.5396485431
0027.6101175510	-399.0977977193
0004.6566021050	-129.7178175803
0011.3050192636	-349.7804098557
0023.4224916886	-338.4538392125
0024.2037025954	-320.5426474515
0019.9219014449	-214.7855893338
0025.1598771929	-349.0770441575
0005.9465925583	-136.1240532455
0002.9322772679	-098.3159633789
0002.6876833965	-121.9306438472
0022.4032645786	-289.4863731035
0006.9527794190	0004.7595412727
0007.7968744258	-231.1925835451
0026.0735068647	-403.4544640996
0012.0107737510	-068.8343037756
0015.3127548899	-132.5974182450
0014.7151400045	-087.3191641540
0012.3186811882	-384.8290399173
0011.0603002640	-300.7269823332
0010.4028961324	-272.7739432842
0002.9405869673	-099.4344523596
0020.1360133262	-226.8721676040
0019.1105055072	-084.9311332802
0026.4060040256	-365.3477890103
0026.5977164078	-388.8923471065
0012.5370855192	-044.9578931114
0009.0944204711	-248.6591962571
0022.3908047290	-316.3048138673
0004.6036279607	-112.1536605294
0001.4092729224	-055.2353697975
0026.6009110942	-367.6492973208
0004.8162864523	-153.7554952365
0016.0859265034	-078.3926138860
-000.2320629984	-202.9731801060
0019.6419919732	-067.6281592163
0028.0127963914	-411.4506982450
-001.0493040180	-023.9296010771
0018.9884805131	-084.8767116342
0010.5860199049	-342.7444232592
-002.6563789858	-006.8641625576
0002.8648609494	-099.5116534002
0014.6685377342	-087.2432225834
0008.4172137061	-236.1229857427
0004.6584951832	-129.9706995316
0007.9349014429	-190.2379723255
0012.1558759236	-420.3456551670
0017.6166864356	-148.4796870193
0024.5759920006	-328.5590678227
0026.7288617604	-389.2736477532
