X	Y
0014.0393259769	-053.1638809586
0014.2716312560	-389.4380578339
0024.1389010671	-320.5397820086
0005.9011487195	-172.8830606336
0010.4870167735	-010.4431818168
0013.3996801286	-058.2332802584
0017.6010914756	-206.0124514918
0017.2319006277	-430.2122746394
0004.4747093451	-339.2767076402
0024.4006871873	-299.2446975942
0019.4240734315	-233.0040520733
0003.1154863521	-099.1474115059
-003.5011560964	-050.9961386855
0002.6646486537	-122.1266784833
0011.0534758211	-026.1130413771
0019.1044866055	-184.9209496637
0019.0868637519	-084.8785273001
0019.8659189982	-214.7258204511
0007.9572019291	-167.3591174131
0022.3618695582	-316.1708346276
0024.7334308138	-308.2490057099
0016.0115410558	-121.3423347885
0002.9199511658	-098.3648209305
0005.6484754394	-227.0630647577
0026.3828737583	-365.2640845964
0011.6394192637	-041.6436354765
0025.0876053141	-369.0953206618
0016.0955650006	-120.9938738791
0025.0720862234	-369.0742023122
0023.6753006014	-180.7610291860
0023.1451114971	-268.9116499747
0017.4258617611	-140.8165575196
0001.2099014858	-058.2588745181
0004.5569391755	-112.5418894548
0019.4092189823	-232.9069118254
0022.3939102378	-316.2037160384
0009.8377175237	-324.0097899385
0005.0051039639	-153.6497814353
0023.1929462830	-291.4838490719
0019.9279393809	-254.2563490488
0008.8776184575	-248.5617283076
0017.3087505276	-159.0833473534
0007.9696167337	-190.2808482314
0026.4986865622	-403.9835296569
-003.5657297304	-053.4225015797
0009.7141146983	-313.4420808685
0014.0038376588	-053.1499262675
0008.4399462446	-258.4792005530
0004.4344358533	-343.2215427754
0022.6701106851	-165.8716141152
0017.3784409551	-140.8189740230
0008.6193427883	-258.3594410053
0011.3868853314	-349.7658324162
0009.3177949854	-306.2904450470
0001.4348283517	-055.2820241696
0017.4533265471	-159.1824291444
0007.8150364649	-231.2752973070
-003.9897922661	-047.9605073732
0004.4668280002	-134.3044419902
0019.3704353783	-232.9402085991
0015.0167370154	-394.3153798545
0024.7706847907	-335.9891955384
0024.9326244419	-307.8525069827
0002.5744364091	-122.1872263270
0007.2209925836	-263.0591659212
0020.4321216975	-263.1647916284
0017.4457598018	-140.8093715656
0020.7996240201	-426.1181111683
0007.7596530100	-190.9329417565
-002.1951482604	-016.5428255224
0017.3187735725	-140.7088691413
0015.5211351580	-132.3536061845
0007.7836201601	-179.3660614161
0006.7886702313	-158.1645049113
0001.4935620716	-055.1822112869
0026.1466355918	-358.5042428820
0012.6114002972	-045.0197763019
0018.5971309171	-172.9244757047
0017.9446473600	-177.7611327939
0000.8589882454	-092.7920126782
0019.5625362215	-243.7974123995
0024.8084559440	-277.3038059127
0007.7862031601	-179.8295492951
0004.5011650706	-129.8048952992
0013.4688538961	-058.2577001766
0007.7976543929	-190.1906444255
0004.5984359320	-129.6774868360
0024.8902748897	-277.4022313468
0026.0674786047	-356.0694794423
0012.2937128483	-362.3245533194
0009.9035025120	-323.9985006528
0013.5001805931	-355.2688661289
0010.7275565217	-334.1636275895
0008.2551417765	-236.0575048510
0012.7224034821	-063.2361219054
0011.7755187260	-041.5861856693
0011.8085753155	-041.5159880678
-003.5156867318	-050.9766379028
0007.5983931574	-179.8886797743
0014.0346883908	-404.8541486746
0013.4981267303	-355.2274408925
0000.8302945604	-092.5550490630
-003.9528608933	-048.0012311739
0014.0230691955	-053.1298857222
0006.0086720838	-173.5255408338
0027.4098608585	-412.1627599060
0005.6731234898	-227.0227363164
0011.2650761859	-349.8191432820
0003.8955136030	-332.8909607314
0023.1760004837	-286.9722225671
0014.8699950077	-395.0293181702
-000.5419175189	-029.4276623539
0023.0403897256	-286.6978351189
0004.8765118960	-140.9751423721
0025.8785889841	-403.3251629676
-004.9596603608	-089.8505432523
0015.3701966786	-399.9226044040
0017.7336259987	-148.4380904057
-005.9377711529	-079.1778194942
0019.2211384908	-184.5991694405
0016.6978042882	-116.4241989351
0025.2558258607	-348.9868892308
0015.3857246129	-098.1264480744
0017.7438086201	-148.5408166843
0015.3389281853	-098.1696210051
0024.7917373025	-277.2587087659
0010.5074739041	-342.5932936232
0022.3428563086	-289.7835268336
0008.0097103974	-231.1998598041
0025.1897405440	-349.0693572442
0011.3786407846	-349.8180935473
0025.2008046259	-368.9665895969
0012.3273770686	-384.5977375148
0015.4135146202	-127.6595364039
0005.8820867764	-136.1670949122
0023.2082262011	-268.9787607924
0023.4488156944	-191.0162746660
0020.2540557100	-263.3603009051
-002.8061350859	-046.3931286004
0012.1944315483	-362.4570550182
0019.3732034304	-188.8306855328
0010.6860332864	-342.7602128929
0019.3299418637	-188.2410979831
0000.8670615159	-092.6996684078
0010.5066439369	-342.8114915581
0005.7320108893	-227.0020521120
0019.2011704803	-233.0221842429
0024.1447117848	-320.5767601864
-004.9746516163	-089.8830070986
0024.1904283229	-320.4912120261
-000.1248636367	-035.2726007591
0005.0122482322	-153.6939841710
0020.3005582502	-226.8437481543
0023.2320884153	-291.4356238767
0014.8798280294	-103.0938368528
0015.3048446721	-132.4076447036
0001.6597164350	-055.2726529000
0009.8390883577	-323.9217914796
0004.4624187613	-129.6831643540
0024.8668999348	-307.9085097768
0018.5590257355	-173.2256417718
0016.7219179440	-116.4589584957
0012.5728137528	-044.9123237832
0000.0836584454	-112.1555406903
0019.4946742496	-208.0214768759
0024.3633401845	-299.2753821903
0005.2991467101	-218.8072900137
0007.0956588956	-210.2724355882
0010.5485131716	-342.6720216866
0025.2412633174	-369.0978401422
0013.5082547591	-058.1537199107
0011.6508167394	-041.6421768958
0017.9404519004	-164.0576002867
0004.8828709867	-153.9495914272
0026.6633926295	-388.9500323358
-003.7646022585	-048.4003589776
0013.4441736558	-058.1989530989
0025.2944675820	-369.2365425046
0024.8471497644	-277.3539989008
0004.4563285666	-343.1945410143
0009.7348952349	-313.0639481586
0019.5357913036	-207.9804240019
0009.0982714510	-371.6949278108
-000.0886809751	-035.6083819384
0023.1308724029	-286.8878915483
0016.1702193637	-120.9333585946
0020.8460761944	-246.9857889273
0017.4659682457	-206.0745318183
0006.4195413676	-205.3992470264
0005.3351228156	-218.8502635386
-000.0920158842	-035.5645573229
0004.9908902861	-140.9134453884
0005.7921770365	-227.1072200927
0017.2307726655	-158.5763098454
0023.2517485992	-268.7507097028
-003.5760637450	-051.0116872163
0015.2189252696	-409.5151026833
0026.2488041824	-358.5574761241
0010.1681227277	-319.0615598219
0009.1974555687	-371.8490812175
0016.0258097788	-078.2617069218
