rosbagTimestamp,data,\,0.15,0,0,6,5,0,0,0,6,0,03*27b281e9\r\n,,,,,,,,,,,,,,,
1.56701504982039E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323868,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.883,-4755075.8241,4232285.4037,1.5499,3.5928,4.1149,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0048,-0.0272,-0.0397,0.1852,0.4294,0.4918,\,\
1.56701505081826E+018,#BESTXYZA,COM1,0,64.5,FINESTEERING,2068,323869,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8974,-4755075.8303,4232285.4207,1.5498,3.5933,4.1136,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0382,-0.0239,-0.0115,0.1852,0.4295,0.4917,\,\
1.56701505181927E+018,#BESTXYZA,COM1,0,64.5,FINESTEERING,2068,323870,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8954,-4755075.8415,4232285.3982,1.5499,3.5939,4.1129,SOL_COMPUTED,DOPPLER_VELOCITY,0.0106,-0.0776,0.045,0.1852,0.4296,0.4916,\,\
1.56701505281993E+018,#BESTXYZA,COM1,0,64.5,FINESTEERING,2068,323871,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.8865,-4755075.8884,4232285.4036,1.5497,3.5945,4.1114,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0237,-0.0607,-0.0848,0.1852,0.4296,0.4914,\,\
1.56701505381954E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323872,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9053,-4755075.8825,4232285.3718,1.5503,3.5959,4.1118,SOL_COMPUTED,DOPPLER_VELOCITY,0.0178,0.0182,-0.0405,0.1853,0.4298,0.4915,\,\
1.567015054819E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323873,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9039,-4755075.9095,4232285.3961,1.5502,3.5965,4.1105,SOL_COMPUTED,DOPPLER_VELOCITY,0.0051,-0.0288,0.0034,0.1853,0.4299,0.4913,\,\
1.56701505582106E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323874,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9232,-4755075.9012,4232285.3504,1.55,3.5966,4.1089,SOL_COMPUTED,DOPPLER_VELOCITY,0.0168,0.0136,-0.0048,0.1853,0.4299,0.4911,\,\
1.5670150568269E+018,#BESTXYZA,COM1,0,65.5,FINESTEERING,2068,323875,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9215,-4755075.9169,4232285.3861,1.5502,3.5976,4.1083,SOL_COMPUTED,DOPPLER_VELOCITY,0.0401,0.0526,0.025,0.1853,0.43,0.491,\,\
1.56701505782838E+018,#BESTXYZA,COM1,0,67,FINESTEERING,2068,323876,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9301,-4755075.9142,4232285.3451,1.5501,3.598,4.1071,SOL_COMPUTED,DOPPLER_VELOCITY,0.0238,-0.0136,0.0409,0.1853,0.43,0.4909,\,\
1.56701505882499E+018,#BESTXYZA,COM1,0,65.5,FINESTEERING,2068,323877,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9311,-4755075.9334,4232285.3748,1.5503,3.5989,4.1064,SOL_COMPUTED,DOPPLER_VELOCITY,0.0389,0.0079,-0.0496,0.1853,0.4302,0.4908,\,\
