rosbagTimestamp,data
1543950036026164651,"""$GPRMC,190036.00,A,4150.1426855,N,08737.5065616,W,8.230,186.1,041218,0.0,E,A*26\r\"
1543950037022879256,"""$GPRMC,190037.00,A,4150.1439576,N,08737.5050820,W,6.704,177.5,041218,0.0,E,A*2E\r\"
1543950038021393794,"""$GPRMC,190038.00,A,4150.1413084,N,08737.5053423,W,7.267,180.3,041218,0.0,E,A*22\r\"
1543950039023064875,"""$GPRMC,190039.00,A,4150.1393181,N,08737.5052274,W,7.586,178.3,041218,0.0,E,A*22\r\"
1543950040030308002,"""$GPRMC,190040.00,A,4150.1350033,N,08737.5061766,W,7.555,178.3,041218,0.0,E,A*23\r\"
1543950041023094077,"""$GPRMC,190041.00,A,4150.1328677,N,08737.5061088,W,8.265,180.3,041218,0.0,E,A*20\r\"
1543950042026343679,"""$GPRMC,190042.00,A,4150.1303557,N,08737.5061134,W,7.943,179.3,041218,0.0,E,A*2B\r\"
1543950043033481278,"""$GPRMC,190043.00,A,4150.1286238,N,08737.5055243,W,8.301,180.1,041218,0.0,E,A*2B\r\"
1543950044049147296,"""$GPRMC,190044.00,A,4150.1261371,N,08737.5057446,W,8.592,176.3,041218,0.0,E,A*2F\r\"
1543950045041312075,"""$GPRMC,190045.00,A,4150.1237042,N,08737.5068684,W,8.881,177.8,041218,0.0,E,A*2B\r\"
1543950046045234741,"""$GPRMC,190046.00,A,4150.1211948,N,08737.5057000,W,8.784,181.0,041218,0.0,E,A*22\r\"
1543950047049342897,"""$GPRMC,190047.00,A,4150.1188277,N,08737.5057089,W,8.646,179.2,041218,0.0,E,A*2C\r\"
1543950048049866716,"""$GPRMC,190048.00,A,4150.1164037,N,08737.5056313,W,8.565,179.0,041218,0.0,E,A*26\r\"
1543950049049605739,"""$GPRMC,190049.00,A,4150.1139219,N,08737.5055683,W,8.813,179.6,041218,0.0,E,A*24\r\"
1543950050039413587,"""$GPRMC,190050.00,A,4150.1113110,N,08737.5054650,W,9.339,180.2,041218,0.0,E,A*21\r\"
1543950051034533796,"""$GPRMC,190051.00,A,4150.1086154,N,08737.5056538,W,9.266,180.0,041218,0.0,E,A*2B\r\"
1543950052034215410,"""$GPRMC,190052.00,A,4150.1061586,N,08737.5056348,W,9.015,179.8,041218,0.0,E,A*23\r\"
